dataset,time,step,loss,acc
train,2018-12-03T17:21:02.031076,102,1.3688614,0.34375
train,2018-12-03T17:21:02.439157,103,1.3458267,0.359375
train,2018-12-03T17:21:02.847057,104,1.3164736,0.40625
train,2018-12-03T17:21:03.260265,105,1.3483971,0.390625
train,2018-12-03T17:21:03.671796,106,1.3260967,0.359375
train,2018-12-03T17:21:04.082195,107,1.3841419,0.296875
train,2018-12-03T17:21:04.491414,108,1.3253556,0.421875
train,2018-12-03T17:21:04.900171,109,1.2932811,0.46875
train,2018-12-03T17:21:05.308161,110,1.406361,0.3046875
train,2018-12-03T17:21:05.719115,111,1.3458048,0.40625
train,2018-12-03T17:21:06.124444,112,1.3578355,0.359375
train,2018-12-03T17:21:06.529549,113,1.3290292,0.421875
train,2018-12-03T17:21:06.938521,114,1.382535,0.296875
train,2018-12-03T17:21:07.353154,115,1.3711215,0.390625
train,2018-12-03T17:21:07.758228,116,1.2594569,0.4296875
train,2018-12-03T17:21:08.168426,117,1.3726518,0.3359375
train,2018-12-03T17:21:08.581126,118,1.3692476,0.3359375
train,2018-12-03T17:21:08.983109,119,1.3091524,0.3671875
train,2018-12-03T17:21:09.390620,120,1.2628953,0.4296875
train,2018-12-03T17:21:09.803149,121,1.3839422,0.3203125
train,2018-12-03T17:21:10.209349,122,1.3433444,0.3828125
train,2018-12-03T17:21:10.623199,123,1.4240204,0.2890625
train,2018-12-03T17:21:11.027714,124,1.3694091,0.359375
train,2018-12-03T17:21:11.438111,125,1.2769654,0.421875
train,2018-12-03T17:21:11.849459,126,1.321746,0.3828125
train,2018-12-03T17:21:12.259186,127,1.3708832,0.3359375
train,2018-12-03T17:21:12.672544,128,1.3543818,0.375
train,2018-12-03T17:21:13.088014,129,1.347812,0.3515625
train,2018-12-03T17:21:13.490380,130,1.3168072,0.3984375
train,2018-12-03T17:21:13.904527,131,1.3668132,0.3125
train,2018-12-03T17:21:14.322275,132,1.3306788,0.3984375
train,2018-12-03T17:21:14.728664,133,1.3061832,0.390625
train,2018-12-03T17:21:15.148322,134,1.3415917,0.359375
train,2018-12-03T17:21:15.561839,135,1.3878772,0.3046875
train,2018-12-03T17:21:15.968814,136,1.2944348,0.4375
train,2018-12-03T17:21:16.378245,137,1.4137847,0.328125
train,2018-12-03T17:21:16.790757,138,1.3173318,0.40625
train,2018-12-03T17:21:17.199438,139,1.3273475,0.34375
train,2018-12-03T17:21:17.611754,140,1.293275,0.3671875
train,2018-12-03T17:21:18.026796,141,1.2707862,0.4921875
train,2018-12-03T17:21:18.431182,142,1.4079539,0.3359375
train,2018-12-03T17:21:18.839020,143,1.3661916,0.3359375
train,2018-12-03T17:21:19.251072,144,1.3702905,0.328125
train,2018-12-03T17:21:19.658649,145,1.3320223,0.375
train,2018-12-03T17:21:20.074159,146,1.3020031,0.375
train,2018-12-03T17:21:20.490346,147,1.386528,0.3515625
train,2018-12-03T17:21:20.897410,148,1.376208,0.3828125
train,2018-12-03T17:21:21.306931,149,1.3420979,0.3359375
train,2018-12-03T17:21:21.719333,150,1.3230296,0.3828125
train,2018-12-03T17:21:22.125152,151,1.352509,0.3203125
train,2018-12-03T17:21:22.546255,152,1.3079592,0.3984375
train,2018-12-03T17:21:22.957661,153,1.3893067,0.296875
train,2018-12-03T17:21:23.368312,154,1.3290712,0.328125
train,2018-12-03T17:21:23.783351,155,1.3634272,0.34375
train,2018-12-03T17:21:24.197988,156,1.321168,0.390625
train,2018-12-03T17:21:24.605382,157,1.3173268,0.4375
train,2018-12-03T17:21:25.012762,158,1.3135043,0.453125
train,2018-12-03T17:21:25.420805,159,1.2560117,0.46875
train,2018-12-03T17:21:25.828272,160,1.3677818,0.3671875
train,2018-12-03T17:21:26.237780,161,1.3064845,0.390625
train,2018-12-03T17:21:26.643032,162,1.3401555,0.3828125
train,2018-12-03T17:21:27.052304,163,1.3184679,0.375
train,2018-12-03T17:21:27.464390,164,1.281888,0.4140625
train,2018-12-03T17:21:27.866639,165,1.351642,0.3828125
train,2018-12-03T17:21:28.287826,166,1.3592986,0.3671875
train,2018-12-03T17:21:28.704744,167,1.3465531,0.3359375
train,2018-12-03T17:21:29.114749,168,1.3187063,0.34375
train,2018-12-03T17:21:29.535061,169,1.3070667,0.375
train,2018-12-03T17:21:29.949167,170,1.3797699,0.359375
train,2018-12-03T17:21:30.355808,171,1.3299465,0.375
train,2018-12-03T17:21:30.769889,172,1.3631847,0.3671875
train,2018-12-03T17:21:31.181349,173,1.29726,0.4296875
train,2018-12-03T17:21:31.593901,174,1.3028381,0.4140625
train,2018-12-03T17:21:32.004173,175,1.2627361,0.390625
train,2018-12-03T17:21:32.412113,176,1.3141823,0.34375
train,2018-12-03T17:21:32.820411,177,1.3426664,0.34375
train,2018-12-03T17:21:33.235030,178,1.3641503,0.359375
train,2018-12-03T17:21:33.652417,179,1.3298253,0.3828125
train,2018-12-03T17:21:34.057693,180,1.3687747,0.375
train,2018-12-03T17:21:34.467002,181,1.3940607,0.34375
train,2018-12-03T17:21:34.875431,182,1.3448372,0.4140625
train,2018-12-03T17:21:35.278249,183,1.340397,0.4140625
train,2018-12-03T17:21:35.687734,184,1.2858839,0.4921875
train,2018-12-03T17:21:36.090920,185,1.3102643,0.390625
train,2018-12-03T17:21:36.497410,186,1.2745384,0.421875
train,2018-12-03T17:21:36.911173,187,1.2871044,0.4375
train,2018-12-03T17:21:37.328211,188,1.3120008,0.375
train,2018-12-03T17:21:37.735761,189,1.2699362,0.46875
train,2018-12-03T17:21:38.148042,190,1.3410449,0.4453125
train,2018-12-03T17:21:38.557245,191,1.2699872,0.4921875
train,2018-12-03T17:21:38.958544,192,1.3100297,0.4296875
train,2018-12-03T17:21:39.367552,193,1.2865748,0.4140625
train,2018-12-03T17:21:39.779312,194,1.2851479,0.3828125
train,2018-12-03T17:21:40.184559,195,1.340512,0.3359375
train,2018-12-03T17:21:40.593743,196,1.3690897,0.3359375
train,2018-12-03T17:21:41.003650,197,1.2736498,0.421875
train,2018-12-03T17:21:41.414728,198,1.2842826,0.421875
train,2018-12-03T17:21:41.825174,199,1.3087628,0.3671875
train,2018-12-03T17:21:42.233014,200,1.310717,0.40625
dev,2018-12-03T17:21:42.640869,200,1.2790068,0.42914075
train,2018-12-03T17:21:57.126852,201,1.1988429,0.4921875
train,2018-12-03T17:21:57.549326,202,1.3144034,0.3828125
train,2018-12-03T17:21:57.958119,203,1.3444897,0.359375
train,2018-12-03T17:21:58.372782,204,1.2892456,0.4375
train,2018-12-03T17:21:58.786685,205,1.328322,0.3671875
train,2018-12-03T17:21:59.193741,206,1.3597479,0.359375
train,2018-12-03T17:21:59.603650,207,1.326419,0.3671875
train,2018-12-03T17:22:00.017363,208,1.3766993,0.359375
train,2018-12-03T17:22:00.437213,209,1.3054458,0.453125
train,2018-12-03T17:22:00.845345,210,1.3666319,0.375
train,2018-12-03T17:22:01.258070,211,1.3749756,0.328125
train,2018-12-03T17:22:01.666440,212,1.2751068,0.390625
train,2018-12-03T17:22:02.077643,213,1.2794714,0.4375
train,2018-12-03T17:22:02.486856,214,1.2546394,0.4140625
train,2018-12-03T17:22:02.894123,215,1.2778828,0.4140625
train,2018-12-03T17:22:03.308518,216,1.2648233,0.484375
train,2018-12-03T17:22:03.720956,217,1.3753191,0.3515625
train,2018-12-03T17:22:04.129218,218,1.3140287,0.3828125
train,2018-12-03T17:22:04.536446,219,1.3186283,0.3515625
